"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW273314.1.1",18.0,24.0,197.31,191.31,"CLAY","NA","Clay; red","UNK"
"GW273314.1.1",31.0,40.0,184.31,175.31,"GRVL","NA","Gravel; small","UNK"
"GW273314.1.1",49.0,64.0,166.31,151.31,"GRVL","NA","Gravel; with sand","UNK"
"GW273314.1.1",73.0,77.0,142.31,138.31,"SAND","NA","Sand; red","UNK"
"GW273314.1.1",89.0,91.0,126.31,124.31,"SDSN","NA","Sandstone; yellow","UNK"
"GW273314.1.1",40.0,45.0,175.31,170.31,"CLAY","NA","Clay; red/small gravel","UNK"
"GW273314.1.1",64.0,67.0,151.31,148.31,"GRVL","NA","Gravel; medium","UNK"
"GW273314.1.1",24.0,26.0,191.31,189.31,"GRVL","NA","Gravel; small","UNK"
"GW273314.1.1",26.0,31.0,189.31,184.31,"GRVL","NA","Gravel; medium","UNK"
"GW273314.1.1",67.0,73.0,148.31,142.31,"CLAY","NA","Clay; orange, sandy","UNK"
"GW273314.1.1",93.0,195.0,122.31,20.31,"SDSN","NA","Sandstone; grey","UNK"
"GW273314.1.1",12.0,13.0,203.31,202.31,"CLAY","NA","Clay; red/small gravel","UNK"
"GW273314.1.1",13.0,18.0,202.31,197.31,"CLAY","NA","Clay; sandy","UNK"
"GW273314.1.1",77.0,80.0,138.31,135.31,"SDSN","NA","Sandstone; orange","UNK"
"GW273314.1.1",91.0,93.0,124.31,122.31,"SDSN","NA","Sandstone; brown","UNK"
"GW273314.1.1",3.0,8.0,212.31,207.31,"SAND","NA","Sand","UNK"
"GW273314.1.1",8.0,12.0,207.31,203.31,"GRVL","NA","Gravel; small","UNK"
"GW273314.1.1",45.0,49.0,170.31,166.31,"CLAY","NA","Clay; red/medium gravel","UNK"
"GW273314.1.1",204.0,217.0,11.31,-1.69,"SHLE","NA","Shale","UNK"
"GW273314.1.1",0.0,3.0,215.31,212.31,"TPSL","NA","Topsoil; sandy","UNK"
"GW273314.1.1",80.0,89.0,135.31,126.31,"SDSN","NA","Sandstone; grey","UNK"
"GW273314.1.1",195.0,204.0,20.31,11.31,"SDSN","NA","Sandstone; grey, banded shale","UNK"
